Mercury,MercuryProject,5,1,1,0
Venus,AtmosphereProbe,4,1,1,1
Mars,RedPlanetBase,12,1,0,0
Jupiter,GasGiantStudy,8,1,1,0
Saturn,RingExplorer,6,1,1,1
Uranus,IceGiantFlyby,3,0,0,0
Neptune,DeepBlueScan,5,1,0,0
Pluto,EdgeOfSystem,2,1,1,1
Ceres,AsteroidMining,10,1,1,0
Eris,DiscordiaMission,4,0,0,0
Europa,OceanDrill,15,1,0,0
Titan,MethaneLake,9,1,1,1
Enceladus,GeyserSample,7,1,1,0
Io,VolcanoWatch,5,1,0,0
Ganymede,MagneticField,6,1,1,1
Callisto,DeadWorldLab,4,1,1,0
Phobos,MarsMoonBase,3,0,0,0
Deimos,OuterMoonPost,2,1,0,0
Vesta,DawnSuccessor,5,1,1,1
Haumea,FastSpinObs,3,0,0,0
